County,2017 Population,Net Domestic Migration,Domestic Migration Rate,Net International Migration,International Migration Rate,Natural Change
"Harlan County, KY","26,713",-245,-9.1,3,0.1,-62
"Harnett County, NC","132,754",853,6.5,171,1.3,826
"Harris County, GA","33,915",313,9.3,-1,0,-12
"Harris County, TX","4,652,980","-45,113",-9.7,"34,791",7.5,"46,122"
"Harrison County, IA","14,136",76,5.4,0,0,-10
"Harrison County, IN","39,898",103,2.6,20,0.5,98
"Harrison County, KY","18,781",157,8.4,21,1.1,16
"Harrison County, MS","205,027","1,294",6.3,258,1.3,830
"Harrison County, OH","15,216",-3,-0.2,0,0,-37
"Harrison County, TX","66,661",-348,-5.2,122,1.8,155
"Harrison County, WV","67,811",-357,-5.2,-15,-0.2,-95
"Harrisonburg city, VA","54,215",-715,-13.2,532,9.8,453
"Hart County, GA","25,794",261,10.2,18,0.7,-33
"Hart County, KY","18,757",169,9.1,2,0.1,61
"Hartford County, CT","895,388","-6,226",-7,"5,049",5.6,"1,044"
"Harvey County, KS","34,544",-347,-10,53,1.5,63
"Haskell County, OK","12,763",96,7.6,9,0.7,14
"Hawaii County, HI","200,381",638,3.2,652,3.3,417
"Hawkins County, TN","56,459",274,4.9,-4,-0.1,-178
"Hays County, TX","214,485","8,236",39.3,284,1.4,"1,571"
"Haywood County, NC","61,084",846,13.9,-15,-0.2,-137
"Haywood County, TN","17,573",-208,-11.8,5,0.3,-27
"Heard County, GA","11,730",173,14.8,-1,-0.1,-15
"Hempstead County, AR","21,861",-224,-10.2,-6,-0.3,66
"Henderson County, KY","45,928",-340,-7.4,2,0,22
"Henderson County, NC","115,708","2,182",19,38,0.3,-279
"Henderson County, TN","27,751",-42,-1.5,-5,-0.2,5
"Henderson County, TX","81,064","1,135",14.1,61,0.8,-169
"Hendricks County, IN","163,685","2,406",14.9,220,1.4,723
"Hendry County, FL","40,347",141,3.5,285,7.1,283
"Hennepin County, MN","1,252,024",210,0.2,"6,752",5.4,"8,062"
"Henrico County, VA","327,898","-1,234",-3.8,"1,771",5.4,"1,222"
"Henry County, AL","17,147",78,4.6,4,0.2,-27
"Henry County, GA","225,813","3,228",14.4,250,1.1,986
"Henry County, IA","19,863",19,1,12,0.6,32
"Henry County, IL","49,328",-234,-4.7,9,0.2,30
"Henry County, IN","48,476",190,3.9,7,0.1,-82
"Henry County, KY","16,006",123,7.7,9,0.6,20
"Henry County, MO","21,718",140,6.5,-2,-0.1,-36
"Henry County, OH","27,185",-131,-4.8,5,0.2,42
"Henry County, TN","32,450",320,9.9,13,0.4,-127
"Henry County, VA","51,227",-94,-1.8,10,0.2,-291
"Herkimer County, NY","62,240",-217,-3.5,37,0.6,-57
"Hernando County, FL","186,553","5,201",28.2,221,1.2,"-1,121"
"Hertford County, NC","23,906",-183,-7.6,39,1.6,-46
"Hickman County, TN","24,864",198,8,-1,0,18
"Hidalgo County, TX","860,661","-3,610",-4.2,"2,989",3.5,"11,099"
"Highland County, OH","42,971",-125,-2.9,11,0.3,93
"Highlands County, FL","102,883","1,601",15.7,325,3.2,-601
"Hill County, MT","16,463",-142,-8.6,5,0.3,153
"Hill County, TX","35,852",648,18.2,38,1.1,-5
"Hillsborough County, FL","1,408,566","11,347",8.1,"9,256",6.6,"6,304"
"Hillsborough County, NH","409,697",-180,-0.4,"1,175",2.9,999
"Hillsdale County, MI","45,879",42,0.9,0,0,72
"Hinds County, MS","239,497","-3,620",-15,298,1.2,987
"Hocking County, OH","28,474",73,2.6,3,0.1,15
"Hockley County, TX","23,088",-122,-5.3,21,0.9,87
"Hoke County, NC","54,116",333,6.2,77,1.4,593
"Holmes County, FL","19,558",188,9.6,1,0.1,-37
"Holmes County, MS","17,739",-224,-12.5,-1,-0.1,3
"Holmes County, OH","43,957",-316,-7.2,-3,-0.1,445
"Holt County, NE","10,202",-67,-6.6,12,1.2,21
"Honolulu County, HI","988,650","-13,473",-13.6,"4,839",4.9,"4,526"
"Hood County, TX","58,273","1,404",24.4,105,1.8,1
"Hood River County, OR","23,377",203,8.7,-10,-0.4,118
"Hopewell city, VA","22,621",-136,-6,47,2.1,92
"Hopkins County, KY","45,547",-190,-4.2,29,0.6,3
"Hopkins County, TX","36,496",203,5.6,-9,-0.2,102
"Horry County, SC","333,268","11,613",35.5,369,1.1,-241
"Hot Spring County, AR","33,574",156,4.7,8,0.2,-34
"Houghton County, MI","36,305",-171,-4.7,169,4.7,20
"Houston County, AL","104,346",-25,-0.2,33,0.3,170
"Houston County, GA","153,479",538,3.5,301,2,784
"Houston County, MN","18,660",-83,-4.4,6,0.3,19
"Houston County, TX","23,021",179,7.8,15,0.7,-59
"Howard County, AR","13,478",-19,-1.4,20,1.5,40
"Howard County, IN","82,363",-25,-0.3,26,0.3,28
"Howard County, MD","321,113",657,2.1,"1,733",5.4,"1,773"
"Howard County, MO","10,139",36,3.6,4,0.4,37
"Howard County, TX","36,040",-779,-21.4,83,2.3,115
"Howell County, MO","40,103",-45,-1.1,11,0.3,0
"Hubbard County, MN","21,018",270,12.9,9,0.4,19
"Hudson County, NJ","691,643","-12,324",-17.9,"11,383",16.5,"6,190"
"Hughes County, OK","13,302",-101,-7.6,3,0.2,-21
"Hughes County, SD","17,666",18,1,-7,-0.4,78
"Humboldt County, CA","136,754",136,1,59,0.4,114
"Humboldt County, NV","16,826",-195,-11.6,19,1.1,128
"Humphreys County, TN","18,484",138,7.5,2,0.1,-35
"Hunt County, TX","93,872","1,614",17.4,108,1.2,210
"Hunterdon County, NJ","125,059",-104,-0.8,154,1.2,-48
"Huntingdon County, PA","45,491",84,1.8,26,0.6,-118
"Huntington County, IN","36,337",-81,-2.2,17,0.5,34
"Huron County, MI","31,280",-50,-1.6,17,0.5,-136
"Huron County, OH","58,494",-132,-2.3,37,0.6,201
"Hutchinson County, TX","21,375",-285,-13.3,23,1.1,66
"Iberia Parish, LA","72,176","-1,292",-17.8,97,1.3,291
"Iberville Parish, LA","33,027",22,0.7,10,0.3,80
"Idaho County, ID","16,369",154,9.4,0,0,-11
"Imperial County, CA","182,830",-778,-4.3,558,3.1,"2,076"
"Independence County, AR","37,504",316,8.5,23,0.6,73
"Indian River County, FL","154,383","3,444",22.5,391,2.6,-852
"Indiana County, PA","84,953",-266,-3.1,104,1.2,-140
"Ingham County, MI","290,186",-811,-2.8,"1,927",6.7,"1,141"
"Inyo County, CA","18,026",-23,-1.3,17,0.9,-1
"Ionia County, MI","64,291",-88,-1.4,4,0.1,197
"Iosco County, MI","25,162",46,1.8,10,0.4,-164
"Iowa County, IA","16,103",-74,-4.6,-6,-0.4,0
"Iowa County, WI","23,715",163,6.9,7,0.3,75
"Iredell County, NC","175,711","2,602",14.9,226,1.3,354
"Iron County, MI","11,124",40,3.6,1,0.1,-98
"Iron County, MO","10,226",118,11.6,2,0.2,-42
"Iron County, UT","51,001",594,11.8,-16,-0.3,626
"Iroquois County, IL","27,876",-312,-11.1,17,0.6,-44
"Isabella County, MI","71,063",-509,-7.2,239,3.4,197
"Isanti County, MN","39,582",663,16.9,23,0.6,131
"Island County, WA","83,159","1,221",14.8,60,0.7,232
"Isle of Wight County, VA","36,552",220,6,34,0.9,-22
"Itasca County, MN","45,137",2,0,1,0,-12
"Itawamba County, MS","23,508",103,4.4,12,0.5,-8
"Izard County, AR","13,686",268,19.7,12,0.9,-83
"Jackson County, AL","51,909",-29,-0.6,25,0.5,-132
"Jackson County, AR","17,135",-173,-10,2,0.1,-4
"Jackson County, FL","48,330",98,2,53,1.1,-110
"Jackson County, GA","67,519","2,264",34.2,-3,0,271
"Jackson County, IA","19,366",-43,-2.2,2,0.1,18
"Jackson County, IL","58,284","-1,257",-21.4,249,4.2,250
"Jackson County, IN","43,884",-263,-6,89,2,127
"Jackson County, KS","13,318",22,1.7,0,0,36
"Jackson County, KY","13,431",44,3.3,0,0,15
"Jackson County, MI","158,640",251,1.6,72,0.5,112
"Jackson County, MO","698,895","1,854",2.7,958,1.4,"2,969"
"Jackson County, MS","142,152",31,0.2,303,2.1,275
"Jackson County, NC","42,973",605,14.2,67,1.6,31
"Jackson County, OH","32,449",-139,-4.3,24,0.7,30
"Jackson County, OK","25,125",-506,-20,48,1.9,183
"Jackson County, OR","217,479","2,731",12.6,-44,-0.2,82
"Jackson County, TN","11,677",120,10.3,-1,-0.1,-45
"Jackson County, TX","14,805",-133,-9,12,0.8,76
"Jackson County, WI","20,529",-16,-0.8,5,0.2,68
"Jackson County, WV","28,976",-191,-6.6,19,0.7,-22
"Jackson Parish, LA","15,846",44,2.8,0,0,-44
"James City County, VA","75,524","1,319",17.6,109,1.5,27
"Jasper County, GA","13,964",97,7,14,1,32
"Jasper County, IA","36,966",262,7.1,-1,0,46
"Jasper County, IN","33,447",-11,-0.3,9,0.3,62
"Jasper County, MO","120,217",280,2.3,137,1.1,507
"Jasper County, MS","16,582",-23,-1.4,0,0,17
"Jasper County, SC","28,458",282,10,24,0.8,79
"Jasper County, TX","35,561",132,3.7,-6,-0.2,35
"Jay County, IN","20,945",-174,-8.3,3,0.1,75
"Jeff Davis County, GA","15,025",7,0.5,1,0.1,48
"Jefferson County, AL","659,197","-2,603",-3.9,741,1.1,"1,340"
"Jefferson County, AR","69,115","-1,264",-18.1,21,0.3,9
"Jefferson County, CO","574,613","1,653",2.9,464,0.8,"1,655"
"Jefferson County, FL","14,144",250,17.8,-1,-0.1,-40
"Jefferson County, GA","15,648",-137,-8.7,8,0.5,-12
"Jefferson County, IA","18,422",-73,-4,340,18.6,-15
"Jefferson County, ID","28,446",314,11.2,2,0.1,323
"Jefferson County, IL","38,179",-230,-6,49,1.3,53
"Jefferson County, IN","32,089",-194,-6,14,0.4,20
"Jefferson County, KS","18,998",104,5.5,1,0.1,38
"Jefferson County, KY","771,158","-1,341",-1.7,"2,651",3.4,"2,558"
"Jefferson County, MO","223,810",-126,-0.6,73,0.3,459
"Jefferson County, MT","11,891",141,11.9,6,0.5,-25
"Jefferson County, NY","114,187",-923,-8.1,97,0.8,933
"Jefferson County, OH","66,359",-259,-3.9,-16,-0.2,-276
"Jefferson County, OR","23,758",549,23.4,18,0.8,70
"Jefferson County, PA","43,804",-123,-2.8,7,0.2,-34
"Jefferson County, TN","53,804",754,14.1,36,0.7,-145
"Jefferson County, TX","256,299","-1,565",-6.1,783,3.1,"1,122"
"Jefferson County, WA","31,234",496,16,12,0.4,-185
"Jefferson County, WI","84,832",84,1,53,0.6,156
"Jefferson County, WV","56,338",390,7,44,0.8,59
"Jefferson Davis County, MS","11,314",-119,-10.4,0,0,-32
"Jefferson Davis Parish, LA","31,477",62,2,1,0,47
"Jefferson Parish, LA","439,036","-3,077",-7,"1,976",4.5,"1,666"
"Jennings County, IN","27,626",10,0.4,-6,-0.2,1
"Jerome County, ID","23,627",41,1.7,72,3.1,257
"Jersey County, IL","21,941",-5,-0.2,18,0.8,-15
"Jessamine County, KY","53,375",737,14,137,2.6,246
"Jim Wells County, TX","40,871",-530,-12.9,49,1.2,236
"Jo Daviess County, IL","21,594",-211,-9.7,12,0.6,-67
"Johnson County, AR","26,552",154,5.8,59,2.2,116
"Johnson County, IA","149,210",456,3.1,"1,059",7.2,"1,060"
"Johnson County, IL","12,900",-26,-2,0,0,-35
"Johnson County, IN","153,897","1,525",10,206,1.3,623
"Johnson County, KS","591,178","1,575",2.7,"1,346",2.3,"3,565"
"Johnson County, KY","22,594",-221,-9.7,0,0,-55
"Johnson County, MO","53,897",-75,-1.4,34,0.6,289
"Johnson County, TN","17,691",-7,-0.4,-4,-0.2,-73
"Johnson County, TX","167,301","3,568",21.6,60,0.4,754
"Johnston County, NC","196,708","4,573",23.6,161,0.8,863
"Johnston County, OK","11,060",21,1.9,4,0.4,-56
"Jones County, GA","28,470",-46,-1.6,-1,0,-37
"Jones County, IA","20,536",116,5.7,19,0.9,18
"Jones County, MS","67,930",-429,-6.3,7,0.1,175
"Jones County, TX","19,983",-23,-1.2,15,0.8,-4
"Josephine County, OR","86,352","1,329",15.5,-12,-0.1,-304
"Juab County, UT","11,250",124,11.1,0,0,124
"Juneau City and Borough, AK","32,094",-561,-17.4,65,2,182
"Juneau County, WI","26,576",197,7.4,5,0.2,16
"Juniata County, PA","24,514",11,0.4,29,1.2,0
"Kalamazoo County, MI","262,985",366,1.4,586,2.2,989
"Kalkaska County, MI","17,634",325,18.6,6,0.3,0
"Kanabec County, MN","16,024",139,8.7,9,0.6,-6
"Kanawha County, WV","183,293","-2,444",-13.2,114,0.6,-479
"Kandiyohi County, MN","42,743",-343,-8,225,5.3,241
"Kane County, IL","534,667","-2,035",-3.8,940,1.8,"3,208"
"Kankakee County, IL","109,605",-709,-6.5,93,0.8,169
"Karnes County, TX","15,187",-137,-9,16,1.1,44
"Kauai County, HI","72,159",-201,-2.8,392,5.4,205
"Kaufman County, TX","122,883","4,007",33.3,105,0.9,713
"Kay County, OK","44,544",-519,-11.6,16,0.4,63
"Kenai Peninsula Borough, AK","58,617",-235,-4,65,1.1,246
"Kendall County, IL","126,218",450,3.6,156,1.2,"1,042"
"Kendall County, TX","44,026","1,979",46,68,1.6,9
"Kennebec County, ME","121,821",509,4.2,73,0.6,-83
"Kenosha County, WI","168,521",15,0.1,74,0.4,569
"Kent County, DE","176,824","1,284",7.3,283,1.6,505
"Kent County, MD","19,384",-126,-6.5,-2,-0.1,-140
"Kent County, MI","648,594",-175,-0.3,"1,715",2.7,"4,171"
"Kent County, RI","163,760",64,0.4,90,0.5,-75
"Kenton County, KY","165,399",-140,-0.8,154,0.9,798
"Keokuk County, IA","10,153",-44,-4.3,5,0.5,16
"Kern County, CA","893,119","-1,622",-1.8,"2,072",2.3,"7,593"
"Kerr County, TX","51,720",597,11.6,11,0.2,-185
"Kershaw County, SC","65,036",730,11.3,14,0.2,26
"Ketchikan Gateway Borough, AK","13,856",28,2,36,2.6,66
"Kewaunee County, WI","20,445",31,1.5,20,1,12
"King County, WA","2,188,649","2,802",1.3,"17,327",8,"12,517"
"King George County, VA","26,337",258,9.9,-2,-0.1,162
"King William County, VA","16,708",223,13.5,8,0.5,65
"Kingfisher County, OK","15,669",43,2.8,10,0.6,50
"Kings County, CA","150,101","-1,189",-7.9,128,0.9,"1,355"
"Kings County, NY","2,648,771","-50,598",-19.1,"25,114",9.5,"23,354"
"Kitsap County, WA","266,414","2,318",8.8,153,0.6,830
"Kittitas County, WA","46,205","1,046",23,86,1.9,138
"Klamath County, OR","66,935",589,8.8,20,0.3,42
"Kleberg County, TX","31,088",-548,-17.6,103,3.3,183
"Klickitat County, WA","21,811",479,22.2,17,0.8,8
"Knott County, KY","15,291",-191,-12.4,1,0.1,-30
"Knox County, IL","50,638",-357,-7,90,1.8,-40
"Knox County, IN","37,508",-65,-1.7,9,0.2,24
"Knox County, KY","31,227",7,0.2,-5,-0.2,-98
"Knox County, ME","39,790",210,5.3,41,1,-114
"Knox County, OH","61,261",309,5.1,9,0.1,116
"Knox County, TN","461,860","3,995",8.7,703,1.5,"1,036"
"Kodiak Island Borough, AK","13,448",-448,-33,51,3.8,165
"Koochiching County, MN","12,528",-55,-4.4,12,1,-48
"Kootenai County, ID","157,637","4,036",26,-26,-0.2,468
"Kosciusko County, IN","79,206",-100,-1.3,59,0.7,325
"Kossuth County, IA","14,999",-163,-10.8,12,0.8,17
"La Crosse County, WI","118,274",253,2.1,53,0.4,249
"La Paz County, AZ","20,601",78,3.8,58,2.8,-56
"La Plata County, CO","55,589",175,3.2,-9,-0.2,207
"Labette County, KS","20,145",-203,-10,-1,0,18
"Lackawanna County, PA","210,761",-483,-2.3,779,3.7,-400
"Laclede County, MO","35,443",-81,-2.3,-4,-0.1,101
"Lafayette County, MO","32,641",105,3.2,2,0.1,-6
"Lafayette County, MS","54,374",643,11.9,54,1,192
"Lafayette County, WI","16,741",-119,-7.1,3,0.2,80
"Lafayette Parish, LA","242,485","-1,357",-5.6,542,2.2,"1,552"
"Lafourche Parish, LA","98,426",-766,-7.8,151,1.5,423
"LaGrange County, IN","39,303",-340,-8.7,9,0.2,499
"Lake County, CA","64,246",390,6.1,1,0,-96
"Lake County, FL","346,017","10,440",30.6,974,2.9,-890
"Lake County, IL","703,520","-6,210",-8.8,"1,741",2.5,"3,009"
"Lake County, IN","485,640","-2,155",-4.4,301,0.6,902
"Lake County, MI","12,013",175,14.7,13,1.1,-37
"Lake County, MN","10,524",25,2.4,13,1.2,-30
"Lake County, MT","30,273",474,15.8,33,1.1,53
"Lake County, OH","230,117",748,3.3,314,1.4,-200
"Lake County, SD","12,809",190,15,2,0.2,11
"Lamar County, AL","13,946",29,2.1,3,0.2,-34
"Lamar County, GA","18,599",101,5.4,36,1.9,-8
"Lamar County, MS","61,374",-215,-3.5,-13,-0.2,371
"Lamar County, TX","49,587",-40,-0.8,8,0.2,55
"Lamb County, TX","13,210",-75,-5.7,16,1.2,44
"Lamoille County, VT","25,337",-12,-0.5,12,0.5,65
"Lampasas County, TX","21,027",298,14.3,49,2.4,23
"Lancaster County, NE","314,358",596,1.9,"1,247",4,"1,974"
"Lancaster County, PA","542,903",-64,-0.1,"1,653",3.1,"2,198"
"Lancaster County, SC","92,550","2,414",26.5,97,1.1,171
"Lancaster County, VA","10,788",97,9,17,1.6,-104
"Lane County, OR","374,748","5,583",15,657,1.8,204
"Langlade County, WI","19,160",96,5,16,0.8,-37
"Lanier County, GA","10,425",-57,-5.5,2,0.2,27
"Lapeer County, MI","88,174",82,0.9,55,0.6,-98
"LaPorte County, IN","110,029",-305,-2.8,-2,0,130
"Laramie County, WY","98,327",-104,-1.1,-3,0,472
"Larimer County, CO","343,976","3,649",10.7,489,1.4,"1,286"
"Larue County, KY","14,205",184,13,-1,-0.1,-10
"Las Animas County, CO","14,238",160,11.3,17,1.2,-26
"LaSalle County, IL","110,067",-545,-4.9,66,0.6,39
"LaSalle Parish, LA","14,933",-144,-9.6,21,1.4,4
"Lassen County, CA","31,163",106,3.4,27,0.9,86
"Latah County, ID","39,333",168,4.3,144,3.7,228
"Latimer County, OK","10,411",-189,-18,4,0.4,34
"Lauderdale County, AL","92,538",412,4.5,14,0.2,-203
"Lauderdale County, MS","76,155","-1,197",-15.6,-4,-0.1,127
"Lauderdale County, TN","25,274",-114,-4.5,21,0.8,18
"Laurel County, KY","60,174",134,2.2,6,0.1,48
"Laurens County, GA","47,330",47,1,19,0.4,74
"Laurens County, SC","66,848",313,4.7,27,0.4,-61
"Lavaca County, TX","20,062",153,7.7,11,0.6,-11
"Lawrence County, AL","33,049",-144,-4.3,-3,-0.1,-37
"Lawrence County, AR","16,525",-33,-2,5,0.3,-85
"Lawrence County, IL","16,168",-112,-6.9,1,0.1,-65
"Lawrence County, IN","45,666",123,2.7,18,0.4,-46
"Lawrence County, KY","15,719",-111,-7,14,0.9,-29
"Lawrence County, MO","38,434",147,3.8,0,0,64
"Lawrence County, MS","12,643",-177,-13.9,0,0,17
"Lawrence County, OH","60,249",-392,-6.5,-19,-0.3,-67
"Lawrence County, PA","87,069",-427,-4.9,25,0.3,-157
"Lawrence County, SD","25,429",234,9.2,-4,-0.2,17
"Lawrence County, TN","43,396",327,7.6,16,0.4,75
"Le Flore County, OK","49,731",-111,-2.2,89,1.8,-88
"Le Sueur County, MN","28,111",299,10.7,6,0.2,92
"Lea County, NM","68,759","-1,848",-26.7,139,2,612
"Leake County, MS","22,715",-50,-2.2,-1,0,30
"Leavenworth County, KS","81,095",528,6.6,28,0.3,424
"Lebanon County, PA","139,754",426,3.1,678,4.9,99
"Lee County, AL","161,604","1,166",7.3,550,3.4,899
"Lee County, FL","739,224","14,000",19.2,"3,174",4.3,-525
"Lee County, GA","29,470",110,3.7,30,1,102
"Lee County, IA","34,295",-164,-4.8,7,0.2,-3
"Lee County, IL","34,406",70,2,6,0.2,-65
"Lee County, MS","84,933",-49,-0.6,14,0.2,154
"Lee County, NC","60,430",373,6.2,83,1.4,226
"Lee County, SC","17,350",-143,-8.2,0,0,-114
"Lee County, TX","17,183",133,7.8,0,0,54
"Lee County, VA","23,758",-187,-7.8,-10,-0.4,-97
"Leelanau County, MI","21,657",203,9.4,18,0.8,-56
"Leflore County, MS","29,223",-600,-20.4,5,0.2,91
"Lehigh County, PA","366,494",214,0.6,"2,323",6.4,865
"Lenawee County, MI","98,623",9,0.1,40,0.4,70
"Lenoir County, NC","56,883",-490,-8.6,67,1.2,-126
"Leon County, FL","290,292","1,251",4.3,828,2.9,"1,140"
"Leon County, TX","17,243",43,2.5,4,0.2,2
"Leslie County, KY","10,334",-69,-6.6,-1,-0.1,-35
"Letcher County, KY","22,339",-355,-15.7,3,0.1,-60
"Levy County, FL","40,355",634,15.8,17,0.4,-149
"Lewis and Clark County, MT","67,773",807,12,-8,-0.1,180
"Lewis County, KY","13,339",-131,-9.8,-3,-0.2,-2
"Lewis County, NY","26,551",-154,-5.8,25,0.9,34
"Lewis County, TN","12,035",128,10.7,-1,-0.1,-4
"Lewis County, WA","78,200","1,474",19,39,0.5,51
"Lewis County, WV","16,226",-44,-2.7,12,0.7,-34
"Lexington County, SC","290,642","2,951",10.2,471,1.6,833
"Liberty County, GA","61,386","-1,156",-18.8,73,1.2,"1,084"
"Liberty County, TX","83,658","1,867",22.6,76,0.9,339
"Licking County, OH","173,448","1,137",6.6,88,0.5,408
"Limestone County, AL","94,402","1,140",12.2,92,1,248
"Limestone County, TX","23,527",-107,-4.5,56,2.4,54
"Lincoln County, AR","13,646",-163,-11.9,-3,-0.2,2
"Lincoln County, KY","24,456",80,3.3,0,0,32
"Lincoln County, ME","34,204",334,9.8,14,0.4,-137
"Lincoln County, MO","56,183",680,12.2,17,0.3,297
"Lincoln County, MS","34,347",-71,-2.1,10,0.3,5
"Lincoln County, MT","19,440",300,15.5,-6,-0.3,-84
"Lincoln County, NC","82,403","1,363",16.7,-18,-0.2,-21
"Lincoln County, NE","35,280",-275,-7.8,14,0.4,67
"Lincoln County, NM","19,395",110,5.7,-5,-0.3,-5
"Lincoln County, OK","35,142",122,3.5,6,0.2,63
"Lincoln County, OR","48,920","1,114",23,51,1.1,-147
"Lincoln County, SD","56,664","1,532",27.5,12,0.2,538
"Lincoln County, TN","33,751",282,8.4,-3,-0.1,-54
"Lincoln County, WA","10,579",260,24.9,2,0.2,-14
"Lincoln County, WI","27,838",19,0.7,2,0.1,-35
"Lincoln County, WV","20,825",-189,-9,-4,-0.2,-78
"Lincoln County, WY","19,265",75,3.9,-11,-0.6,126
"Lincoln Parish, LA","47,744",-271,-5.7,208,4.4,158
"Linn County, IA","224,115",779,3.5,373,1.7,"1,074"
"Linn County, MO","12,194",73,6,6,0.5,-25
"Linn County, OR","125,047","2,090",16.9,-3,0,254
"Litchfield County, CT","182,177",-906,-5,337,1.8,-349
"Little River County, AR","12,359",-16,-1.3,-4,-0.3,-51
"Live Oak County, TX","12,174",123,10.2,17,1.4,10
"Livingston County, IL","36,518",-9,-0.2,15,0.4,39
"Livingston County, MI","189,651",945,5,86,0.5,277
"Livingston County, MO","15,173",58,3.8,5,0.3,-27
"Livingston County, NY","63,799",-483,-7.5,109,1.7,-31
"Livingston Parish, LA","138,228","-2,695",-19.4,55,0.4,777
"Llano County, TX","21,210",763,36.5,3,0.1,-129
"Logan County, AR","21,722",-9,-0.4,42,1.9,-22
"Logan County, CO","21,896",-72,-3.3,24,1.1,19
"Logan County, IL","29,245",-90,-3.1,7,0.2,-10
"Logan County, KY","27,060",329,12.2,-6,-0.2,80
"Logan County, OH","45,325",82,1.8,27,0.6,48
"Logan County, OK","46,784",618,13.3,2,0,162
"Logan County, WV","32,925",-559,-16.8,-3,-0.1,-160
"Long County, GA","19,014",227,12.1,31,1.6,160
"Lonoke County, AR","72,898",762,10.5,69,1,312
"Lorain County, OH","307,924",328,1.1,641,2.1,382
"Los Alamos County, NM","18,738",429,23.3,83,4.5,72
"Los Angeles County, CA","10,163,507","-91,680",-9,"48,844",4.8,"55,672"
"Loudon County, TN","52,152",926,17.9,14,0.3,-67
"Loudoun County, VA","398,080","5,392",13.7,"2,535",6.5,"3,864"
"Louisa County, IA","11,184",-78,-7,44,3.9,30
"Louisa County, VA","35,860",549,15.4,6,0.2,24
"Love County, OK","10,034",47,4.7,8,0.8,1
"Lowndes County, AL","10,076",-137,-13.5,-1,-0.1,-27
"Lowndes County, GA","115,489",311,2.7,165,1.4,713
"Lowndes County, MS","59,186",-555,-9.4,85,1.4,196
"Lubbock County, TX","305,225",720,2.4,482,1.6,"1,724"
"Lucas County, OH","430,887","-3,249",-7.5,539,1.2,"1,029"
"Lumpkin County, GA","32,873","1,312",40.7,11,0.3,11
"Luna County, NM","24,078",-347,-14.3,4,0.2,135
"Lunenburg County, VA","12,235",13,1.1,9,0.7,-52
"Luzerne County, PA","317,343",473,1.5,950,3,-855
"Lycoming County, PA","113,841",-782,-6.8,68,0.6,-153
"Lynchburg city, VA","80,995",231,2.9,360,4.5,491
"Lyon County, IA","11,792",-62,-5.3,1,0.1,65
"Lyon County, KS","33,392",-292,-8.7,116,3.5,165
"Lyon County, MN","25,831",-275,-10.6,99,3.8,146
"Lyon County, NV","54,122","1,259",23.5,-16,-0.3,21
"Mackinac County, MI","10,712",55,5.1,18,1.7,-55
"Macomb County, MI","871,375",117,0.1,"2,794",3.2,"1,006"
"Macon County, AL","18,755",-250,-13.2,7,0.4,-73
"Macon County, GA","13,314",-200,-14.9,12,0.9,-19
"Macon County, IL","105,801","-1,080",-10.2,71,0.7,157
"Macon County, MO","15,251",111,7.3,2,0.1,-5
"Macon County, NC","34,732",473,13.7,37,1.1,-88
"Macon County, TN","24,079",497,20.9,59,2.5,68
"Macoupin County, IL","45,446",-65,-1.4,3,0.1,-142
"Madera County, CA","156,890",483,3.1,269,1.7,"1,177"
"Madison County, AL","361,046","3,265",9.1,491,1.4,981
"Madison County, AR","16,339",155,9.6,14,0.9,65
"Madison County, FL","18,449",155,8.4,17,0.9,-29
"Madison County, GA","29,302",364,12.5,31,1.1,79
"Madison County, IA","16,013",185,11.6,13,0.8,24
"Madison County, ID","39,141",-625,-16,7,0.2,981
"Madison County, IL","265,428",-488,-1.8,109,0.4,217
"Madison County, IN","129,498",75,0.6,52,0.4,55
"Madison County, KY","91,226","1,233",13.6,105,1.2,340
"Madison County, MO","12,243",40,3.3,-1,-0.1,-27
"Madison County, MS","104,618",348,3.3,167,1.6,231
"Madison County, NC","21,746",301,13.9,20,0.9,-12
"Madison County, NE","35,144",-42,-1.2,84,2.4,168
"Madison County, NY","70,965",-498,-7,37,0.5,36
"Madison County, OH","44,036",639,14.6,40,0.9,1
"Madison County, TN","97,643",-156,-1.6,62,0.6,226
"Madison County, TX","14,222",80,5.7,15,1.1,34
"Madison County, VA","13,277",127,9.6,8,0.6,35
"Madison Parish, LA","11,316",-162,-14.2,0,0,-7
"Magoffin County, KY","12,538",-136,-10.8,2,0.2,-3
"Mahaska County, IA","22,235",-46,-2.1,34,1.5,41
"Mahoning County, OH","229,796",-147,-0.6,326,1.4,-538
"Malheur County, OR","30,480",-96,-3.2,-2,-0.1,186
"Manassas city, VA","41,501",-833,-20.1,284,6.8,589
"Manassas Park city, VA","16,591",373,22.8,160,9.8,-32
"Manatee County, FL","385,571","9,219",24.2,"1,279",3.4,-542
"Manistee County, MI","24,427",63,2.6,11,0.5,-82
"Manitowoc County, WI","79,175",-166,-2.1,53,0.7,-40
"Marathon County, WI","135,732",-14,-0.1,92,0.7,467
"Marengo County, AL","19,375",-103,-5.3,7,0.4,-34
"Maricopa County, AZ","4,307,033","38,852",9.1,"10,918",2.6,"23,764"
"Marin County, CA","260,955","-1,705",-6.5,872,3.3,258
"Marinette County, WI","40,310",121,3,2,0,-98
"Marion County, AL","29,833",1,0,1,0,-88
"Marion County, AR","16,428",154,9.4,6,0.4,-101
